tick,count_5,count_10,count_15,count_total,value_5,value_10,value_15,value_total
485,0,0,1,1,0,0,15,15
536,0,0,2,2,0,0,30,30
553,0,0,3,3,0,0,45,45
657,0,1,3,4,0,10,45,55
690,1,1,3,5,5,10,45,60
778,2,1,3,6,10,10,45,65
905,3,1,3,7,15,10,45,70
1131,3,2,3,8,15,20,45,80
1202,3,3,3,9,15,30,45,90
1376,3,3,4,10,15,30,60,105
1398,4,3,4,11,20,30,60,110
1459,4,3,5,12,20,30,75,125
1537,4,3,6,13,20,30,90,140
1627,4,4,6,14,20,40,90,150
1631,5,4,6,15,25,40,90,155
1867,5,4,7,16,25,40,105,170
1887,6,4,7,17,30,40,105,175
1939,7,4,7,18,35,40,105,180
2017,7,5,7,19,35,50,105,190
2083,7,5,8,20,35,50,120,205
2116,7,5,9,21,35,50,135,220
2318,7,5,10,22,35,50,150,235
2362,7,5,11,23,35,50,165,250
2390,7,6,11,24,35,60,165,260
2399,8,6,11,25,40,60,165,265
2739,9,6,11,26,45,60,165,270
2984,10,6,11,27,50,60,165,275
3140,10,6,12,28,50,60,180,290
3165,10,6,13,29,50,60,195,305
3201,10,6,14,30,50,60,210,320
3212,10,6,15,31,50,60,225,335
3284,11,6,15,32,55,60,225,340
3476,12,6,15,33,60,60,225,345
3643,12,6,16,34,60,60,240,360
3726,12,6,17,35,60,60,255,375
3843,12,6,18,36,60,60,270,390
3912,12,6,19,37,60,60,285,405
3978,12,7,19,38,60,70,285,415
4135,13,7,19,39,65,70,285,420
4262,13,7,20,40,65,70,300,435
4353,13,8,20,41,65,80,300,445
4384,13,8,21,42,65,80,315,460
4478,13,8,22,43,65,80,330,475
4528,14,8,22,44,70,80,330,480
4805,14,9,22,45,70,90,330,490
4895,15,9,22,46,75,90,330,495
4948,16,9,22,47,80,90,330,500
5037,17,9,22,48,85,90,330,505
5161,17,9,23,49,85,90,345,520
5220,18,9,23,50,90,90,345,525
5456,19,9,23,51,95,90,345,530
5517,19,9,24,52,95,90,360,545
5524,19,10,24,53,95,100,360,555
5589,20,10,24,54,100,100,360,560
5773,20,10,25,55,100,100,375,575
5874,20,10,26,56,100,100,390,590
6114,20,10,27,57,100,100,405,605
6141,20,10,28,58,100,100,420,620
6204,20,10,29,59,100,100,435,635
6227,20,11,29,60,100,110,435,645
6275,20,11,30,61,100,110,450,660
6360,20,11,31,62,100,110,465,675
6381,20,11,32,63,100,110,480,690
6436,20,11,33,64,100,110,495,705
6828,20,11,34,65,100,110,510,720
6897,20,11,35,66,100,110,525,735
6902,20,11,36,67,100,110,540,750
6944,20,11,37,68,100,110,555,765
7089,20,11,38,69,100,110,570,780
7190,20,11,39,70,100,110,585,795
7270,20,11,40,71,100,110,600,810
7351,21,11,40,72,105,110,600,815
7389,21,11,41,73,105,110,615,830
7412,21,11,42,74,105,110,630,845
7452,21,11,43,75,105,110,645,860
7796,21,11,44,76,105,110,660,875
